Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional
29,Anthony Davis,C,30,LAL,12,431,23.8,.591,.053,.390,9.8,25.1,18.0,14.9,1.1,8.4,10.2,24.9,,0.9,0.8,1.7,.189,,1.8,1.4,3.3,0.6,davisan02
30,Anthony Edwards,SG,22,MIN,11,390,20.2,.571,.311,.284,2.7,14.6,9.0,24.8,2.0,0.9,13.3,32.4,,0.4,0.7,1.1,.139,,2.6,0.7,3.3,0.5,edwaran01
31,Lauri Markkanen,PF,26,UTA,12,406,21.7,.636,.533,.305,6.6,20.0,13.1,6.2,1.3,2.5,7.1,24.3,,1.3,0.2,1.4,.169,,5.2,-1.9,3.3,0.5,markkla01
32,Jrue Holiday,PG,33,BOS,12,410,15.3,.533,.399,.126,6.6,17.0,12.0,21.0,0.8,2.7,12.2,18.1,,0.6,0.7,1.3,.150,,1.8,1.3,3.2,0.5,holidjr01
33,Jae'Sean Tate,SF,28,HOU,10,192,15.7,.619,.471,.137,6.3,15.3,10.8,8.1,3.6,2.0,5.3,13.1,,0.4,0.4,0.8,.196,,-0.4,3.6,3.2,0.3,tateja01
34,Mark Williams,C,22,CHO,11,283,25.9,.743,.000,.518,16.5,24.8,20.5,6.8,1.8,2.3,10.3,17.0,,1.2,0.1,1.3,.224,,4.2,-1.0,3.2,0.4,willima07
35,Jalen Brunson,PG,27,NYK,12,418,17.8,.551,.346,.247,2.5,8.3,5.3,23.4,1.3,0.0,8.9,28.3,,0.8,0.5,1.3,.149,,3.2,-0.2,3.0,0.5,brunsja01
36,Desmond Bane,SG,25,MEM,11,382,19.2,.571,.465,.195,1.9,12.9,7.0,23.5,2.0,2.6,10.6,29.9,,0.4,0.4,0.8,.095,,2.9,-0.1,2.8,0.4,banede01
37,Kawhi Leonard,SF,32,LAC,11,376,19.4,.570,.353,.228,3.7,13.9,8.9,16.7,2.8,1.2,9.0,25.5,,0.6,0.5,1.1,.145,,2.3,0.4,2.7,0.4,leonaka01
38,Malik Monk,SG,25,SAC,11,261,17.9,.571,.569,.319,3.7,11.3,7.3,34.9,1.1,2.4,15.4,25.4,,0.5,0.2,0.7,.128,,3.7,-1.0,2.7,0.3,monkma01
39,Bam Adebayo,C,26,MIA,11,381,22.9,.595,.011,.457,7.2,25.7,16.3,18.8,2.0,3.5,12.9,27.8,,0.7,0.7,1.3,.166,,1.4,1.2,2.5,0.4,adebaba01
40,Jalen Johnson,SF,22,ATL,12,367,17.8,.685,.283,.217,5.5,23.3,14.4,10.3,1.4,2.9,15.4,17.5,,0.7,0.3,1.0,.132,,1.9,0.5,2.5,0.4,johnsja05
41,Moritz Wagner,C,26,ORL,12,234,20.2,.715,.253,.349,7.5,18.7,13.0,10.4,1.2,2.4,13.5,19.9,,0.6,0.4,1.0,.215,,1.0,1.5,2.5,0.3,wagnemo01
42,Malcolm Brogdon,PG,31,POR,8,222,18.3,.514,.388,.248,3.7,15.9,9.3,34.8,1.3,0.0,8.8,28.1,,0.3,0.2,0.5,.104,,3.0,-0.7,2.4,0.2,brogdma01
43,Al Horford,C,37,BOS,11,267,12.2,.558,.623,.033,8.0,18.3,13.3,11.5,0.9,3.4,15.1,11.8,,0.3,0.5,0.8,.139,,0.3,2.0,2.4,0.3,horfoal01
44,Kelly Olynyk,C,32,UTA,12,248,17.9,.718,.386,.281,11.2,20.0,15.5,24.2,2.3,0.7,25.6,14.3,,0.6,0.1,0.7,.144,,1.5,0.7,2.2,0.3,olynyke01
45,Matisse Thybulle,SF,26,POR,12,247,13.7,.696,.804,.089,1.2,8.1,4.4,8.4,2.8,2.8,10.7,11.2,,0.4,0.3,0.7,.138,,-0.2,2.4,2.2,0.3,thybuma01
46,OG Anunoby,SF,26,TOR,8,251,15.1,.626,.571,.153,2.1,11.9,6.8,8.7,1.9,1.8,11.1,20.0,,0.2,0.3,0.6,.106,,0.9,1.2,2.1,0.3,anunoog01
47,Bogdan Bogdanović,SG,31,ATL,12,312,16.2,.573,.678,.103,1.4,10.0,5.7,16.9,2.9,1.4,9.5,22.3,,0.4,0.2,0.7,.106,,1.8,0.3,2.0,0.3,bogdabo01
48,Clint Capela,C,29,ATL,12,305,20.6,.618,.000,.365,16.8,26.2,21.5,5.5,1.6,5.5,7.5,14.4,,0.8,0.4,1.2,.191,,2.0,0.0,2.0,0.3,capelca01
49,Kevon Looney,C,27,GSW,13,306,17.0,.645,.000,.214,14.7,27.1,20.6,15.7,1.7,1.5,17.5,10.0,,0.7,0.5,1.2,.183,,0.4,1.6,2.0,0.3,looneke01
50,Fred VanVleet,PG,29,HOU,10,364,15.6,.535,.559,.158,0.9,10.8,5.9,33.0,0.8,1.1,9.5,21.8,,0.6,0.5,1.0,.134,,2.4,-0.5,2.0,0.4,vanvlfr01
